original_order	job_name	job_order	name	non_normal	in_game_description	sp_cost	effect_type	target	invocation_ratio	Boost: None	Boost: Lv 2	Boost: Lv 3	Boost: MAX	defense_modifier	Overall multiplier: No Boost	Overall multiplier: Max	notes	skill_all	convergence	diffusion	reflection	counter	hide_out	repeat	cover	disable_magic	enchant	chase_attack
1			Attack	TRUE	Attack a single foe with an equipped weapon	0	Physical (Varies)	One enemy	100	80 (x1)	80 (x2)	80 (x3)	80 (x4)	1	0.8	3.2	+20 Hit Ratio, which increases accuracy.					TRUE	TRUE		TRUE		TRUE	
2			Defend	TRUE	Go on the defensive to reduce damage taken, and act earlier next turn	0	Buff	Self	130	100	100	100	100				Exact effects of the Invocation Ratio are not yet understood. When Olberic uses Bolster Defence to boost, Invocation Ratio becomes 145/160/175 at 2/3/max boost, and he gains the ability to take all single target damage aimed at an ally.											
3	Cleric	1	Heal Wounds		Restore HP to all allies	8	Healing	All allies	100	170	220	270	320		1.7	3.2								TRUE		TRUE		
4	Cleric	2	Holy Light		Inflict light-based damage on a single foe	6	Light	One enemy	130	100	200	300	400	0.769	1.3	5.2		TRUE			TRUE			TRUE				
5	Cleric	3	Sheltering Veil		Augment one ally's elemental defence for 2 turns	6	Buff	One ally		2 turns	4 turns	6 turns	8 turns				Grants E.Def up buff (2/3x elemental damage taken). Does not affect healing amount	TRUE						TRUE				
6	Cleric	4	Luminescence		Deal light-based damage to all foes	9	Light	All enemies	105	100	190	280	370	0.952	1.05	3.885			TRUE		TRUE			TRUE		TRUE		
7	Cleric	5	Heal More		Restore a large amount of HP to all allies	25	Healing	All allies	170	150	200	250	300		2.55	5.1								TRUE		TRUE		
8	Cleric	6	Reflective Veil		Grant a single ally the ability to reflect one elemental attack	22	Buff	One ally		1 use	2 uses	3 uses	4 uses				Damage is negated and strikes opponent, lasts until used.	TRUE						TRUE				
9	Cleric	7	Revive		Revive all incapacitated allies	50	Healing	All allies	170*	100	200	250	300			5.1	*When unboosted, there is no healing effect after revival, so this value doesn't exist. This means unboosted, everyone revived is left at 1 HP.							TRUE		TRUE		
10	Cleric	8	Aelfric's Auspices		[DS] For 3 turns, skills performed by a single chosen ally will trigger twice. (This will not affect other divine skills)	30	Buff	One ally					3 turns															
11	Scholar	1	Fireball		Deal fire damage to all foes	8	Fire	All enemies	105	100	190	280	370	0.952	1.05	3.885			TRUE		TRUE			TRUE		TRUE		
12	Scholar	2	Icewind		Deal ice damage to all foes	8	Ice	All enemies	105	100	190	280	370	0.952	1.05	3.885			TRUE		TRUE			TRUE		TRUE		
13	Scholar	3	Lightning Bolt		Deal lightning damage to all foes	8	Lightning	All enemies	105	100	190	280	370	0.952	1.05	3.885			TRUE		TRUE			TRUE		TRUE		
14	Scholar	4	Analyze		Reveal the HP and 1 weakness of a single foe	1	Debuff	One enemy		1 weakness	2 weaknesses	3 weaknesses	5 weaknesses				Current/Max HP is displayed briefly at the top of the screen while the move is used. Max boost does reveal 5 weaknesses, the in game description claims 4 and is wrong.	TRUE						TRUE				TRUE
15	Scholar	5	Fire Storm		Deal fire damage to all foes twice	22	Fire	All enemies	105	90	171	252	343	0.952	1.89	7.203	Note that max boost is +91 instead of +81 over previous boost level. This is an error in game, not in this sheet.		TRUE		TRUE			TRUE		TRUE		
16	Scholar	6	Blizzard		Deal ice damage to all foes twice	22	Ice	All enemies	105	90	171	252	343	0.952	1.89	7.203	Note that max boost is +91 instead of +81 over previous boost level. This is an error in game, not in this sheet.		TRUE		TRUE			TRUE		TRUE		
17	Scholar	7	Lightning Blast		Deal lightning damage to all foes twice	22	Lightning	All enemies	105	90	171	252	343	0.952	1.89	7.203	Note that max boost is +91 instead of +81 over previous boost level. This is an error in game, not in this sheet.		TRUE		TRUE			TRUE		TRUE		
18	Scholar	8	Alephan's Enlightenment		[DS] For 3 turns, spells cast by a single chosen ally that usually target all foes will instead be focued on a single foe at increased intensity	30	Buff	One ally									Damage multiplier is x2 while active. See Convergence flag on right for which moves are affected.											
19	Merchant	1	Collect		Collect money (leaves) from a single foe.	2	Buff	One enemy		5%	15%	35%	95%				Odds of success vary with enemy HP. Success % rate is: (100 - 100 x enemy current HP / enemy max HP) + Ability Ratio bonus. Amount stolen is determined by the enemy.	TRUE						TRUE				TRUE
20	Merchant	2	Tradewinds		Deal heavy wind damage to a single foe	7	Wind	One enemy	130	100	200	300	400	0.769	1.3	5.2		TRUE			TRUE			TRUE				
21	Merchant	3	Rest		Restore one's own HP and SP, and cure status ailments	0	Healing	Self	100	100	130	160	190		1	1.9	HP healing values shown. Restores a fixed 25 SP, 50 SP, 75 SP and 100 SP at each boost level respectively, and also cures status conditions			TRUE				TRUE				
22	Merchant	4	Trade Tempest		Deal wind damage to all foes.	10	Wind	All enemies	105	100	190	280	370	0.952	1.05	3.885			TRUE		TRUE			TRUE		TRUE		
23	Merchant	5	Donate BP		Grant 1 BP to an ally.	3	Buff	Other ally		1 BP	2 BP	3 BP	4 BP											TRUE				
24	Merchant	6	Sidestep		Dodge a single physical attack with a 100% success rate	10	Buff	Self		1 Use	2 Uses	3 Uses	4 Uses				Lasts until used. Used to avoid any physical attack, even if you would have dodged anyway.			TRUE				TRUE				
25	Merchant	7	Hired Help		Pay money (leaves) to summon hired help to the battlefield	0	Physical (Varies)	All enemies									Attacks once per BP spent. Has several options available, details below							TRUE				
26	Merchant	8	Bifelgan's Bounty		[DS] Unleash a non-elemental attack on a single foe and receive leaves equivalent to the damage dealt	30	Elemental	One enemy	130				600	0.769		7.8	Cannot earn more leaves than enemies remaining HP. Description is misleading, it is an elemental attack of no specific element. It erronously has the physical attack icon in game rather than the elemental attack icon.				TRUE							
27	Merchant	101	Hired Help Mercenary	TRUE	Unlease a sword attack on all foes, and grant increased physical defence to all allies	(150 leaves)	Sword	All enemies	90	160 (x1)	140 (x2)	120 (x3)	100 (x4)	1.11	1.44	3.6	Grants whole party P.Def Up for 2/4/6/8 turns, increasing with boost level. Uses Mercenary's stats, notably 130 P.Atk, 600 accuracy and 106 critical							TRUE				
28	Merchant	102	Hired Help Bandit	TRUE	Unleash an axe attack on all foes	(800 leaves)	Axe	All enemies	110	180 (x1)	150 (x2)	130 (x3)	110 (x4)	0.909	1.98	4.84	Uses Bandit's stats, notably 200 P.Atk, 600 accuracy and 524 critical.							TRUE				
29	Merchant	103	Hired Help Dancer	TRUE	Unleash a dagger attack on all foes that has a chance of inflicting status ailments.	(2,500 leaves)	Dagger	All enemies	100	200 (x1)	180 (x2)	150 (x3)	125 (x4)	1	2	5	Each attack also has a 5%/10%/20%/30% chance to Poison, Blind, confuse and/or Sleep, increasing with boost level. Each debuff lasts 3 turns per time it is applied and can apply multiple times per use at high boost. Uses Dancer's stats, notably 250 P.Atk, 600 accuracy and 131 critical.							TRUE				
30	Merchant	104	Hired Help Cleric	TRUE	Deal light-based damage to all foes.	(10,000 leaves)	Light	All enemies	130	280 (x1)	220 (x2)	180 (x3)	155 (x4)	0.769	3.64	7.44	Uses Cleric's own stats, notably 320 M.Atk							TRUE				
31	Merchant	105	Hired Help Veteran Soldier	TRUE	Unleash a powerful sword attack on all foes	(30,000 leaves)	Sword	All enemies	180	260 (x1)	160 (x2)	135 (x3)	115 (x4)	0.556	4.68	8.28	Uses Veteran's own stats, notably 480 P.Atk, 600 Acc and 524 critical. Estimated overall multiplier after this of 2.18							TRUE				
32	Warrior	1	Level Slash		Attack all foes with a sword	9	Sword	All enemies	100	100	190	280	370	1	1	3.7						TRUE	TRUE	TRUE			TRUE	
33	Warrior	2	Abide		Increase the user's physical attack strength for 3 turns	4	Buff	Self		3 turns	5 turns	7 turns	9 turns				Grants P.Atk up buff (1.5x physical damage)			TRUE				TRUE				
34	Warrior	3	Spearhead		Attack a single foe with a polearm, and act earlier on your next turn	6	Polearm	One enemy	120	100	200	300	400	0.833	1.2	4.8	Makes you act first next turn, before even people that are guarding. Only enemies recovering from break go earlier (at least, that I've noticed)	TRUE				TRUE	TRUE	TRUE	TRUE		TRUE	
35	Warrior	4	Incite		Become more readily targeted by foes for 3 turns	4	Buff	Self		3 turns	5 turns	7 turns	9 turns				Seems to have a very high success rate. Enemy physical attacks will almost always target an incited character. Note there is no Diffusion flag, i.e. unaffected by Transfer Rune							TRUE				
